Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2026,9931.29,9951.14,10046.25,9930.76,604307136
02-Jan-2026,9931.29,9951.14,10046.25,,604307136
02-Jan-2026,9931.29,9951.14,10046.25,9930.76,604307136
05-Jan-2026,9951.45,10004.57,10022.05,9951.45,708341696
06-Jan-2026,10004.40,10122.73,10158.41,10003.77,701826240
07-Jan-2026,10122.76,10048.21,10124.75,,694476352
08-Jan-2026,10048.36,10044.69,10059.42,9995.91,746522368
09-Jan-2026,10044.70,10124.60,10135.70,10032.92,711367424
12-Jan-2026,10124.47,10140.70,10149.71,10089.93,636495808
13-Jan-2026,10140.70,10137.35,10152.48,10097.14,936639872
14-Jan-2026,10137.31,10184.35,10184.35,10135.35,678196864
15-Jan-2026,10184.39,10238.94,10250.45,10173.53,1026439296
16-Jan-2026,10238.94,10235.29,10257.75,10212.78,864893824
19-Jan-2026,10235.31,10195.35,10235.31,10166.27,622507200
20-Jan-2026,10195.16,10126.78,10195.16,10050.22,912857600
21-Jan-2026,10126.88,10138.09,10161.54,10093.67,748346752
22-Jan-2026,10138.09,10150.05,10226.54,10138.09,776843840
23-Jan-2026,10150.05,10143.44,10184.14,10131.83,607127936
26-Jan-2026,10143.14,10148.85,10184.90,10125.28,650188608
27-Jan-2026,10148.98,10207.80,10228.16,10147.48,746946688
28-Jan-2026,10207.63,10154.43,10225.52,10144.65,776019584
29-Jan-2026,10154.18,10171.76,10277.72,10154.17,727952000
30-Jan-2026,10171.80,10223.54,10234.01,10141.61,826892160
02-Feb-2026,10223.72,10341.56,10345.48,10145.36,921636544
03-Feb-2026,10341.32,10314.59,10373.28,10232.19,863757376
04-Feb-2026,10314.50,10402.34,10481.54,10307.97,924871424
05-Feb-2026,10402.55,10309.22,10404.03,10289.29,1255052416
06-Feb-2026,10309.05,10369.75,10380.52,10253.15,734227200
09-Feb-2026,10369.83,10386.23,10420.27,10315.99,1012882944
10-Feb-2026,10386.22,10353.84,10402.19,10330.81,987516672
11-Feb-2026,10353.82,10472.11,10493.83,10353.80,924867968
